<s>
(79,71)
(81,71)
(82,72)
(83,73)
(83,74)
(84,75)
(84,76)
(86,77)
(86,79)
(86,80)
(86,81)
(87,82)
(87,83)
(87,84)
(87,85)
(87,87)
(88,88)
(88,89)
(88,90)
(88,91)
(88,92)
(88,93)
</s>
<s>
(47,110)
(49,110)
(52,110)
(54,110)
(62,110)
(65,110)
(68,110)
(76,110)
(79,110)
(82,110)
(85,110)
(88,110)
(96,110)
(104,110)
(107,110)
(110,110)
(118,108)
(121,108)
(127,106)
(129,105)
(132,105)
(134,104)
(135,104)
(137,103)
(138,103)
</s>
<s>
(81,134)
(81,135)
(81,136)
(80,138)
(79,139)
(78,141)
(77,142)
(77,143)
(76,145)
(75,146)
(74,147)
(73,148)
(72,150)
(71,151)
(70,152)
(69,153)
(68,154)
(67,154)
(67,155)
(66,156)
(65,156)
(64,157)
</s>
<s>
(108,136)
(112,140)
(116,146)
(124,154)
(125,156)
(131,160)
(135,164)
(136,166)
(138,167)
(139,169)
(140,169)
(141,170)
</s>
