<s>
(60,93)
(61,93)
(63,93)
(65,93)
(68,93)
(71,93)
(79,91)
(87,89)
(95,87)
(101,85)
(107,83)
(109,83)
(115,81)
(117,81)
(118,81)
(119,81)
(119,82)
(119,83)
(118,84)
(118,85)
(117,87)
(116,88)
(115,90)
(114,92)
(113,94)
(113,96)
(112,98)
(110,104)
(109,106)
(108,108)
(106,114)
(105,116)
(104,118)
(104,120)
(103,122)
(103,123)
(103,125)
(102,126)
(102,127)
(102,128)
(101,130)
(100,132)
(100,133)
(100,134)
(100,135)
(100,136)
(99,137)
(99,138)
(99,139)
(99,140)
(99,141)
(99,142)
(100,142)
(101,143)
(101,144)
(103,144)
(104,144)
(106,145)
(109,145)
(111,146)
(114,146)
(117,146)
(123,148)
(125,148)
(128,148)
(130,148)
(132,148)
(134,148)
(135,149)
(137,149)
(138,149)
(139,149)
(140,149)
(141,149)
(141,148)
(141,147)
(142,145)
(142,143)
(142,141)
(142,138)
(144,130)
(144,122)
(144,119)
(144,116)
</s>
<s>
(91,64)
(91,66)
(91,68)
(91,69)
(91,72)
(90,74)
(88,80)
(86,86)
(84,92)
(82,98)
(78,104)
(74,112)
(70,120)
(64,128)
(60,134)
(54,142)
(50,148)
(44,154)
(40,158)
(36,162)
(35,163)
(31,167)
(30,168)
</s>
