<s>
44,37
45,43
46,48
47,53
49,59
50,64
50,69
50,74
51,79
51,86
51,92
51,97
51,103
51,109
50,115
48,121
47,127
45,132
43,138
42,143
40,149
38,154
35,158
33,163
31,168
29,173
25,177
22,182
</s>
<s>
100,57
100,63
100,68
100,74
100,79
100,84
100,89
100,95
100,101
100,106
100,111
100,116
100,121
100,126
100,131
100,136
100,141
</s>
<s>
147,29
147,34
147,39
147,46
146,52
145,57
145,63
144,69
144,75
144,81
144,86
144,91
144,96
144,101
144,106
146,114
146,121
148,127
148,132
149,138
149,143
149,149
150,154
150,159
150,164
150,169
150,174
151,179
151,184
</s>
