<s>
(50,106)
(52,106)
(54,105)
(57,105)
(65,103)
(75,103)
(85,101)
(95,101)
(105,99)
(115,97)
(125,95)
(131,93)
(137,91)
(139,91)
(140,91)
(140,92)
(140,93)
(140,94)
(140,95)
(139,96)
(138,98)
(137,99)
(136,101)
(135,102)
(131,106)
(130,108)
(126,112)
(125,114)
(124,116)
(122,122)
(121,124)
(120,126)
(118,132)
(117,134)
(116,135)
(116,137)
(115,138)
(115,139)
(115,141)
(115,142)
(115,143)
(115,144)
(115,145)
(115,146)
(116,147)
(116,148)
(117,148)
(118,149)
(118,150)
(120,150)
(121,151)
(123,152)
(125,152)
(127,152)
(129,153)
(130,153)
(132,153)
(133,154)
(135,154)
(136,154)
(138,154)
(139,154)
(141,154)
(142,154)
(143,154)
(143,153)
(144,152)
(144,151)
(144,150)
(144,148)
(144,147)
(144,145)
(144,144)
(144,143)
(144,142)
</s>
<s>
(86,71)
(86,73)
(86,75)
(86,78)
(85,80)
(84,82)
(84,84)
(82,90)
(81,92)
(81,94)
(80,96)
(78,102)
(78,104)
(77,106)
(75,112)
(74,113)
(74,115)
(73,117)
(72,119)
(71,120)
(70,122)
(66,126)
(65,127)
(64,128)
(63,130)
(61,131)
(59,132)
(55,136)
(54,137)
(50,141)
(48,142)
(46,143)
(44,144)
(43,145)
(42,145)
(41,146)
</s>
