<s>
(66,90)
(67,90)
(68,90)
(69,90)
(70,90)
(72,90)
(74,89)
(76,89)
(78,88)
(80,88)
(82,88)
(84,88)
(86,87)
(88,87)
(89,87)
(90,87)
(91,87)
(92,87)
(93,87)
(94,87)
</s>
<s>
(77,114)
(78,114)
(79,113)
(80,113)
(81,113)
(82,113)
(83,113)
(83,112)
(84,112)
(85,112)
(86,112)
(87,112)
(88,112)
</s>
<s>
(42,141)
(43,141)
(45,141)
(47,141)
(50,141)
(58,141)
(61,141)
(71,141)
(77,139)
(87,139)
(95,137)
(98,137)
(106,135)
(114,135)
(120,133)
(123,133)
(125,133)
(127,132)
(129,132)
(131,132)
(133,132)
(134,132)
(135,131)
(136,131)
(138,131)
(139,131)
(141,131)
(142,131)
(143,131)
(144,131)
(145,131)
(146,131)
</s>
