<s>
(54,83)
(55,83)
(57,82)
(60,82)
(66,80)
(69,80)
(75,78)
(81,76)
(89,76)
(95,74)
(98,74)
(100,74)
(102,74)
(104,74)
(106,74)
(107,74)
(108,74)
(109,74)
(110,74)
(111,74)
(112,74)
(113,74)
(114,74)
(115,74)
(116,74)
(118,74)
(119,74)
(120,74)
(121,74)
(122,74)
(123,74)
(124,74)
(125,74)
</s>
<s>
(65,112)
(67,112)
(68,112)
(70,111)
(71,111)
(73,111)
(79,109)
(81,109)
(83,109)
(86,109)
(88,109)
(94,107)
(96,107)
(98,107)
(99,107)
(100,107)
(101,107)
(102,107)
(103,107)
(103,108)
(103,109)
(104,110)
(104,112)
(104,114)
(104,115)
(104,116)
(104,118)
(104,119)
(104,120)
(104,122)
(104,123)
(103,124)
(103,125)
(102,126)
(101,127)
(100,128)
(100,129)
(99,129)
(99,130)
(98,131)
</s>
<s>
(86,99)
(86,101)
(86,103)
(86,105)
(86,108)
(86,110)
(86,111)
(86,113)
(86,115)
(86,116)
(86,117)
(86,118)
(85,120)
(85,121)
(85,122)
(85,123)
(85,124)
(85,125)
(85,126)
(84,126)
(84,127)
</s>
<s>
(41,139)
(44,139)
(46,139)
(48,139)
(50,139)
(52,139)
(54,139)
(57,139)
(59,139)
(62,139)
(65,139)
(67,139)
(70,139)
(72,139)
(74,139)
(77,139)
(80,139)
(83,139)
(89,137)
(92,137)
(95,137)
(98,137)
(106,137)
(109,137)
(117,137)
(120,137)
(128,137)
(130,137)
(133,137)
(136,137)
(138,137)
(140,137)
(142,137)
(144,137)
(145,137)
</s>
