<s>
(44,135)
(50,133)
(58,131)
(66,127)
(76,123)
(86,119)
(96,117)
(118,111)
(130,107)
(138,103)
(144,99)
(150,97)
(152,97)
(154,96)
(155,96)
</s>
<s>
(77,75)
(78,77)
(78,80)
(78,82)
(78,85)
(78,88)
(78,91)
(78,93)
(78,101)
(78,103)
(76,109)
(76,111)
(76,114)
(76,116)
(76,119)
(76,121)
(76,123)
(76,124)
(76,126)
(76,128)
(76,129)
(76,131)
(76,132)
(76,134)
(76,136)
(76,138)
(76,139)
(76,141)
(77,143)
(77,144)
(77,145)
(77,146)
(77,147)
(78,149)
(78,150)
(78,151)
(78,152)
(78,153)
(79,153)
(79,154)
(80,155)
(81,156)
(82,157)
(83,158)
(84,158)
(86,159)
(88,159)
(88,160)
(90,160)
(91,161)
(93,161)
(96,161)
(97,162)
(99,162)
(101,162)
(107,164)
(109,164)
(111,164)
(114,164)
(116,164)
(118,164)
(121,164)
(124,164)
(127,164)
(129,164)
(132,164)
(135,164)
(138,164)
(140,164)
(142,164)
(147,164)
(148,164)
(150,164)
(151,164)
(152,164)
(152,163)
(153,162)
(154,161)
(154,160)
(155,159)
(156,157)
(156,156)
(156,155)
(157,153)
(157,152)
(158,151)
(158,149)
(159,149)
(159,148)
(159,147)
(159,146)
(159,145)
</s>
