<s>
41,44
45,52
47,58
49,64
51,70
52,75
54,81
55,87
56,92
57,97
57,102
57,107
57,113
57,119
57,124
56,129
55,134
53,139
51,144
48,148
44,152
41,156
38,160
35,164
31,168
27,172
</s>
<s>
105,62
105,67
105,72
104,77
104,82
103,87
103,92
103,97
103,102
103,107
103,112
103,117
103,122
103,127
102,132
102,137
</s>
<s>
155,29
155,36
155,41
155,46
155,52
155,58
155,64
155,69
155,74
156,79
156,84
156,90
156,96
156,101
156,107
156,112
156,117
156,123
156,129
156,134
157,139
157,144
157,151
157,157
157,163
157,171
157,176
156,181
</s>
